No.,Species,Local Name,Location,Count (Approx.),Breeding Time,Habitat
743,Indian Featherback,Local Name 743,Tamil Nadu Coast,Critically Endangered,Monsoon (July-Sept),"Rocky Reefs, Rocky Reefs"
744,Snapper,Local Name 744,Kochi,Common,Spring (Mar-Apr),"Estuaries, Shallow Reefs"
745,Sardine,Local Name 745,Tamil Nadu Coast,Stable,Monsoon (July-Sept),"Mangroves, Coastal"
746,Tilapia,Local Name 746,Andaman Islands,Critically Endangered,Winter (Dec-Feb),"Shallow Reefs, Rocky Reefs"
747,Dory,Local Name 747,Gulf of Mannar,Rare,Year-round,"Estuaries, Freshwater rivers"
748,Trevally,Local Name 748,Mumbai Coast,Critically Endangered,Summer (May-Jul),"Shallow Reefs, Rocky Reefs"
749,Butterfly Fish,Local Name 749,Goa,Endangered,Winter (Dec-Feb),"Mangroves, Brackish"
750,Goby,Local Name 750,Kochi,Common,Summer (May-Jul),"Estuaries, Coastal"
751,Hawkfish,Local Name 751,"Sundarbans, West Bengal",Rare,Winter (Dec-Feb),"Coastal, Freshwater rivers"
752,Groupers,Local Name 752,"Sundarbans, West Bengal",Stable,Year-round,"Rocky Reefs, Estuaries"
753,Snapper,Local Name 753,Kerala Backwaters,Stable,Summer (May-Jul),"Coastal, Sandy Bottoms"
754,Goby,Local Name 754,Rameswaram Coast,Endangered,Spring (Mar-Apr),"Coastal, Shallow Reefs"
755,Yellow Sea Bream,Local Name 755,Kochi,Moderate,Winter (Dec-Feb),"Coastal, Coral Reefs"
756,Tilapia,Local Name 756,Rameswaram Coast,Common,Year-round,"Coastal, Rocky Reefs"
757,Indo-Pacific King Mackerel,Local Name 757,Bay of Bengal,Rare,Year-round,"Open Sea, Open Sea"
758,Anglerfish,Local Name 758,"Sundarbans, West Bengal",Common,Summer (May-Jul),"Estuaries, Coastal"
759,Surgeon Fish,Local Name 759,Mumbai Coast,Rare,Monsoon (July-Sept),"Shallow Reefs, Rocky Reefs"
760,Ladyfish,Local Name 760,Odisha Coast,Stable,Monsoon (July-Sept),"Freshwater rivers, Sandy Bottoms"
761,Giant Grouper,Local Name 761,Visakhapatnam,Stable,Spring (Mar-Apr),"Sandy Bottoms, Brackish"
762,Clown Fish,Local Name 762,Palk Strait,Critically Endangered,Year-round,"Brackish, Estuaries"
763,Longcomb Sawfish,Local Name 763,Kochi,Critically Endangered,Monsoon (July-Sept),"Open Sea, Sandy Bottoms"
764,Silver Whiting,Local Name 764,Bay of Bengal,Rare,Monsoon (July-Sept),"Rocky Reefs, Rocky Reefs"
765,Parrot Fish,Local Name 765,Kanyakumari,Stable,Year-round,"Brackish, Coral Reefs"
766,Butterfly Fish,Local Name 766,Kanyakumari,Moderate,Summer (May-Jul),"Mangroves, Freshwater rivers"
767,Mackerel,Local Name 767,Rameswaram Coast,Moderate,Monsoon (July-Sept),"Coastal, Sandy Bottoms"
768,Guitarfish,Local Name 768,Visakhapatnam,Declining,Summer (May-Jul),"Coral Reefs, Brackish"
769,Groupers,Local Name 769,Mumbai Coast,Moderate,Monsoon (July-Sept),"Brackish, Coral Reefs"
770,Mullet,Local Name 770,Rameswaram Coast,Endangered,Winter (Dec-Feb),"Coral Reefs, Shallow Reefs"
771,Drum,Local Name 771,Goa,Common,Summer (May-Jul),"Freshwater rivers, Brackish"
772,Emperor Fish,Local Name 772,Mumbai Coast,Endangered,Year-round,"Shallow Reefs, Coral Reefs"
773,Drum,Local Name 773,Kochi,Stable,Winter (Dec-Feb),"Open Sea, Sandy Bottoms"
774,Trevally,Local Name 774,Lakshadweep Sea,Stable,Spring (Mar-Apr),"Coral Reefs, Brackish"
775,Emperor Fish,Local Name 775,Andaman Islands,Critically Endangered,Spring (Mar-Apr),"Estuaries, Shallow Reefs"
776,Tuna,Local Name 776,"Sundarbans, West Bengal",Declining,Monsoon (July-Sept),"Sandy Bottoms, Sandy Bottoms"
777,Bluefin Tuna,Local Name 777,Rameswaram Coast,Moderate,Monsoon (July-Sept),"Freshwater rivers, Brackish"
778,Guitarfish,Local Name 778,Kochi,Endangered,Spring (Mar-Apr),"Freshwater rivers, Freshwater rivers"
779,Sardine,Local Name 779,Odisha Coast,Moderate,Winter (Dec-Feb),"Brackish, Mangroves"
780,Pufferfish,Local Name 780,Kanyakumari,Moderate,Year-round,"Rocky Reefs, Rocky Reefs"
781,Bream,Local Name 781,Gulf of Mannar,Endangered,Summer (May-Jul),"Rocky Reefs, Mangroves"
782,Ribbon Fish,Local Name 782,Goa,Declining,Spring (Mar-Apr),"Open Sea, Sandy Bottoms"
783,Tilapia,Local Name 783,Kanyakumari,Declining,Year-round,"Mangroves, Freshwater rivers"
784,Eel,Local Name 784,Kanyakumari,Stable,Monsoon (July-Sept),"Estuaries, Rocky Reefs"
785,Mullet,Local Name 785,Palk Strait,Common,Winter (Dec-Feb),"Freshwater rivers, Open Sea"
786,Trevally,Local Name 786,Rameswaram Coast,Moderate,Winter (Dec-Feb),"Estuaries, Mangroves"
787,Blue Marlin,Local Name 787,Mumbai Coast,Declining,Year-round,"Open Sea, Shallow Reefs"
788,Silver Whiting,Local Name 788,"Sundarbans, West Bengal",Stable,Monsoon (July-Sept),"Freshwater rivers, Coastal"
789,Snappers,Local Name 789,Gulf of Mannar,Rare,Winter (Dec-Feb),"Open Sea, Coastal"
790,Tilapia,Local Name 790,Visakhapatnam,Critically Endangered,Summer (May-Jul),"Estuaries, Estuaries"
791,Pangasius Catfish,Local Name 791,Bay of Bengal,Rare,Winter (Dec-Feb),"Brackish, Brackish"
792,Shovelnose Ray,Local Name 792,Palk Strait,Declining,Winter (Dec-Feb),"Shallow Reefs, Brackish"
793,Butterfly Fish,Local Name 793,West Bengal Coast,Stable,Winter (Dec-Feb),"Open Sea, Freshwater rivers"
794,Hilsa,Local Name 794,Kerala Backwaters,Common,Spring (Mar-Apr),"Coral Reefs, Mangroves"
795,Drum,Local Name 795,Tamil Nadu Coast,Endangered,Monsoon (July-Sept),"Brackish, Estuaries"
796,Surgeon Fish,Local Name 796,Andaman Islands,Endangered,Winter (Dec-Feb),"Rocky Reefs, Open Sea"
797,Trout,Local Name 797,Goa,Critically Endangered,Year-round,"Coastal, Coastal"
798,Pangasius Catfish,Local Name 798,"Sundarbans, West Bengal",Critically Endangered,Spring (Mar-Apr),"Estuaries, Mangroves"
799,Cod,Local Name 799,West Bengal Coast,Endangered,Year-round,"Sandy Bottoms, Open Sea"
800,Hilsa,Local Name 800,Bay of Bengal,Critically Endangered,Monsoon (July-Sept),"Estuaries, Mangroves"
801,Bluespotted Ribbontail Ray,Local Name 801,Kanyakumari,Moderate,Summer (May-Jul),"Freshwater rivers, Shallow Reefs"
802,Giant Grouper,Local Name 802,Goa,Declining,Spring (Mar-Apr),"Open Sea, Brackish"
803,Bluespotted Ribbontail Ray,Local Name 803,Kanyakumari,Endangered,Spring (Mar-Apr),"Mangroves, Sandy Bottoms"
804,Seahorse,Local Name 804,"Sundarbans, West Bengal",Stable,Monsoon (July-Sept),"Estuaries, Estuaries"
805,Dory,Local Name 805,Gulf of Mannar,Critically Endangered,Monsoon (July-Sept),"Estuaries, Freshwater rivers"
806,Groupers,Local Name 806,Visakhapatnam,Moderate,Year-round,"Open Sea, Coastal"
807,Pike,Local Name 807,Kochi,Rare,Monsoon (July-Sept),"Shallow Reefs, Freshwater rivers"
808,Drum,Local Name 808,Kochi,Declining,Monsoon (July-Sept),"Shallow Reefs, Rocky Reefs"
809,Snappers,Local Name 809,Lakshadweep Sea,Rare,Year-round,"Brackish, Mangroves"
810,Bluefin Tuna,Local Name 810,Lakshadweep Sea,Critically Endangered,Spring (Mar-Apr),"Coastal, Brackish"
811,Nurse Shark,Local Name 811,Mumbai Coast,Critically Endangered,Monsoon (July-Sept),"Coral Reefs, Sandy Bottoms"
812,Clown Fish,Local Name 812,Palk Strait,Declining,Monsoon (July-Sept),"Sandy Bottoms, Freshwater rivers"
813,Wrasse,Local Name 813,Bay of Bengal,Common,Year-round,"Estuaries, Coastal"
814,Anchovy,Local Name 814,Kerala Backwaters,Rare,Summer (May-Jul),"Coastal, Estuaries"
815,Hawkfish,Local Name 815,Gulf of Mannar,Endangered,Summer (May-Jul),"Coral Reefs, Freshwater rivers"
816,Wrasse,Local Name 816,West Bengal Coast,Rare,Summer (May-Jul),"Sandy Bottoms, Estuaries"
817,Shovelnose Ray,Local Name 817,Kerala Backwaters,Common,Summer (May-Jul),"Freshwater rivers, Mangroves"
818,Parrot Fish,Local Name 818,Palk Strait,Stable,Winter (Dec-Feb),"Estuaries, Rocky Reefs"
819,Eel,Local Name 819,Palk Strait,Common,Year-round,"Shallow Reefs, Freshwater rivers"
820,Goby,Local Name 820,"Sundarbans, West Bengal",Declining,Year-round,"Mangroves, Mangroves"
821,Anthias,Local Name 821,Andaman Islands,Declining,Year-round,"Estuaries, Coastal"
822,Mackerel,Local Name 822,West Bengal Coast,Moderate,Summer (May-Jul),"Freshwater rivers, Estuaries"
823,Tuna,Local Name 823,Kanyakumari,Common,Year-round,"Open Sea, Freshwater rivers"
824,Anchovy,Local Name 824,West Bengal Coast,Endangered,Winter (Dec-Feb),"Rocky Reefs, Estuaries"
825,Gobies,Local Name 825,Palk Strait,Moderate,Monsoon (July-Sept),"Mangroves, Mangroves"
826,Ribbon Fish,Local Name 826,Tamil Nadu Coast,Stable,Year-round,"Coral Reefs, Freshwater rivers"
827,Moray Eel,Local Name 827,Kanyakumari,Common,Summer (May-Jul),"Coral Reefs, Coastal"
828,Snappers,Local Name 828,Odisha Coast,Stable,Spring (Mar-Apr),"Brackish, Sandy Bottoms"
829,Guitarfish,Local Name 829,Gulf of Mannar,Endangered,Summer (May-Jul),"Mangroves, Coral Reefs"
830,Cod,Local Name 830,Andaman Islands,Common,Winter (Dec-Feb),"Rocky Reefs, Mangroves"
831,Parrot Fish,Local Name 831,Andaman Islands,Endangered,Winter (Dec-Feb),"Open Sea, Coral Reefs"
832,Gobies,Local Name 832,Goa,Common,Summer (May-Jul),"Coastal, Coastal"
833,Bream,Local Name 833,Andaman Islands,Critically Endangered,Summer (May-Jul),"Freshwater rivers, Freshwater rivers"
834,Blacktip Shark,Local Name 834,West Bengal Coast,Declining,Monsoon (July-Sept),"Freshwater rivers, Freshwater rivers"
835,Pangasius Catfish,Local Name 835,Rameswaram Coast,Endangered,Year-round,"Coastal, Coastal"
836,Giant Grouper,Local Name 836,Palk Strait,Endangered,Summer (May-Jul),"Open Sea, Estuaries"
837,Bluefin Tuna,Local Name 837,Gulf of Mannar,Rare,Monsoon (July-Sept),"Coral Reefs, Freshwater rivers"
838,Blue Marlin,Local Name 838,Gulf of Mannar,Stable,Summer (May-Jul),"Rocky Reefs, Coastal"
839,Anglerfish,Local Name 839,Bay of Bengal,Common,Monsoon (July-Sept),"Estuaries, Coastal"
840,Giant Grouper,Local Name 840,Bay of Bengal,Endangered,Summer (May-Jul),"Freshwater rivers, Open Sea"
841,Trevally,Local Name 841,Rameswaram Coast,Critically Endangered,Spring (Mar-Apr),"Brackish, Sandy Bottoms"
842,Hawkfish,Local Name 842,"Sundarbans, West Bengal",Common,Summer (May-Jul),"Sandy Bottoms, Coral Reefs"
843,Guitarfish,Local Name 843,Odisha Coast,Stable,Summer (May-Jul),"Estuaries, Estuaries"
844,Trevally,Local Name 844,Gulf of Mannar,Stable,Summer (May-Jul),"Rocky Reefs, Coastal"
845,Eel,Local Name 845,Odisha Coast,Common,Year-round,"Mangroves, Coral Reefs"
846,Blue Chromis,Local Name 846,Mumbai Coast,Endangered,Summer (May-Jul),"Freshwater rivers, Freshwater rivers"
847,Blue Chromis,Local Name 847,Lakshadweep Sea,Critically Endangered,Year-round,"Mangroves, Freshwater rivers"
848,Snappers,Local Name 848,Mumbai Coast,Endangered,Summer (May-Jul),"Coastal, Mangroves"
849,Butterfly Fish,Local Name 849,Lakshadweep Sea,Stable,Year-round,"Coral Reefs, Mangroves"
850,Indo-Pacific King Mackerel,Local Name 850,West Bengal Coast,Declining,Spring (Mar-Apr),"Coral Reefs, Estuaries"
851,Pike,Local Name 851,Kochi,Moderate,Spring (Mar-Apr),"Coastal, Estuaries"
852,Groupers,Local Name 852,Kerala Backwaters,Common,Monsoon (July-Sept),"Rocky Reefs, Open Sea"
853,Nurse Shark,Local Name 853,Rameswaram Coast,Rare,Year-round,"Freshwater rivers, Freshwater rivers"
854,Snapper,Local Name 854,Gulf of Mannar,Common,Year-round,"Brackish, Rocky Reefs"
855,Emperor Fish,Local Name 855,Tamil Nadu Coast,Stable,Spring (Mar-Apr),"Sandy Bottoms, Mangroves"
856,Shovelnose Ray,Local Name 856,Goa,Endangered,Year-round,"Coral Reefs, Coastal"
857,Mandarinfish,Local Name 857,Kanyakumari,Endangered,Winter (Dec-Feb),"Brackish, Rocky Reefs"
858,Lion Fish,Local Name 858,Goa,Critically Endangered,Spring (Mar-Apr),"Sandy Bottoms, Estuaries"
859,Bream,Local Name 859,Bay of Bengal,Endangered,Summer (May-Jul),"Estuaries, Estuaries"
860,Blacktip Shark,Local Name 860,Mumbai Coast,Common,Summer (May-Jul),"Estuaries, Brackish"
861,Anthias,Local Name 861,Mumbai Coast,Rare,Summer (May-Jul),"Coral Reefs, Coral Reefs"
862,Pomfret,Local Name 862,Tamil Nadu Coast,Moderate,Year-round,"Rocky Reefs, Coastal"
863,Tuna,Local Name 863,Kochi,Common,Monsoon (July-Sept),"Shallow Reefs, Rocky Reefs"
864,Shovelnose Ray,Local Name 864,Kanyakumari,Stable,Spring (Mar-Apr),"Coastal, Rocky Reefs"
865,Ribbon Fish,Local Name 865,Visakhapatnam,Moderate,Year-round,"Mangroves, Sandy Bottoms"
866,Herring,Local Name 866,Rameswaram Coast,Endangered,Summer (May-Jul),"Open Sea, Freshwater rivers"
867,Groupers,Local Name 867,Odisha Coast,Stable,Summer (May-Jul),"Estuaries, Open Sea"
868,Nurse Shark,Local Name 868,Palk Strait,Stable,Year-round,"Estuaries, Shallow Reefs"
869,Hawkfish,Local Name 869,Odisha Coast,Declining,Summer (May-Jul),"Sandy Bottoms, Sandy Bottoms"
870,Herring,Local Name 870,West Bengal Coast,Rare,Spring (Mar-Apr),"Rocky Reefs, Estuaries"
871,Carp,Local Name 871,Bay of Bengal,Common,Summer (May-Jul),"Rocky Reefs, Mangroves"
872,Moray Eel,Local Name 872,Mumbai Coast,Common,Year-round,"Mangroves, Freshwater rivers"
873,Trout,Local Name 873,Odisha Coast,Moderate,Year-round,"Brackish, Brackish"
874,Cod,Local Name 874,Odisha Coast,Critically Endangered,Monsoon (July-Sept),"Shallow Reefs, Shallow Reefs"
875,Blue Chromis,Local Name 875,West Bengal Coast,Declining,Spring (Mar-Apr),"Coastal, Freshwater rivers"
876,Sandperch,Local Name 876,Palk Strait,Common,Monsoon (July-Sept),"Coastal, Freshwater rivers"
877,Groupers,Local Name 877,Kerala Backwaters,Declining,Monsoon (July-Sept),"Mangroves, Estuaries"
878,Snapper,Local Name 878,Kochi,Critically Endangered,Winter (Dec-Feb),"Coastal, Mangroves"
879,Guitarfish,Local Name 879,Mumbai Coast,Stable,Winter (Dec-Feb),"Open Sea, Estuaries"
880,Bonito,Local Name 880,"Sundarbans, West Bengal",Common,Year-round,"Mangroves, Freshwater rivers"
881,Nurse Shark,Local Name 881,Lakshadweep Sea,Common,Spring (Mar-Apr),"Estuaries, Brackish"
882,Parrot Fish,Local Name 882,Rameswaram Coast,Rare,Summer (May-Jul),"Estuaries, Open Sea"
883,Guitarfish,Local Name 883,Kerala Backwaters,Declining,Monsoon (July-Sept),"Coastal, Open Sea"
884,Trout,Local Name 884,Andaman Islands,Rare,Summer (May-Jul),"Brackish, Mangroves"
885,Mackerel,Local Name 885,Gulf of Mannar,Moderate,Spring (Mar-Apr),"Coastal, Coastal"
886,Bonito,Local Name 886,Kerala Backwaters,Rare,Winter (Dec-Feb),"Rocky Reefs, Mangroves"
887,Lion Fish,Local Name 887,West Bengal Coast,Critically Endangered,Winter (Dec-Feb),"Estuaries, Freshwater rivers"
888,Giant Grouper,Local Name 888,Andaman Islands,Endangered,Year-round,"Rocky Reefs, Freshwater rivers"
889,Swordfish,Local Name 889,Visakhapatnam,Rare,Summer (May-Jul),"Open Sea, Open Sea"
890,Trevally,Local Name 890,Gulf of Mannar,Endangered,Spring (Mar-Apr),"Open Sea, Shallow Reefs"
891,Clown Fish,Local Name 891,Gulf of Mannar,Moderate,Year-round,"Brackish, Freshwater rivers"
892,Dory,Local Name 892,West Bengal Coast,Moderate,Spring (Mar-Apr),"Open Sea, Rocky Reefs"
893,Bream,Local Name 893,Tamil Nadu Coast,Common,Summer (May-Jul),"Sandy Bottoms, Freshwater rivers"
894,Herring,Local Name 894,Kerala Backwaters,Moderate,Monsoon (July-Sept),"Open Sea, Coral Reefs"
895,Mandarinfish,Local Name 895,Palk Strait,Critically Endangered,Winter (Dec-Feb),"Shallow Reefs, Coral Reefs"
896,Blacktip Shark,Local Name 896,West Bengal Coast,Rare,Winter (Dec-Feb),"Brackish, Mangroves"
897,Tilapia,Local Name 897,Rameswaram Coast,Declining,Year-round,"Coral Reefs, Coral Reefs"
898,Bream,Local Name 898,"Sundarbans, West Bengal",Common,Monsoon (July-Sept),"Shallow Reefs, Coastal"
899,Mackerel,Local Name 899,Andaman Islands,Moderate,Summer (May-Jul),"Coral Reefs, Shallow Reefs"
900,Bonito,Local Name 900,Rameswaram Coast,Declining,Year-round,"Shallow Reefs, Shallow Reefs"
901,Pike,Local Name 901,Rameswaram Coast,Rare,Monsoon (July-Sept),"Rocky Reefs, Coastal"
902,Ribbon Fish,Local Name 902,Mumbai Coast,Endangered,Spring (Mar-Apr),"Mangroves, Estuaries"
903,Anchovy,Local Name 903,Goa,Stable,Year-round,"Coastal, Coastal"
904,Chub,Local Name 904,Kanyakumari,Stable,Winter (Dec-Feb),"Sandy Bottoms, Shallow Reefs"
905,Groupers,Local Name 905,Gulf of Mannar,Common,Monsoon (July-Sept),"Coastal, Estuaries"
906,Tilefish,Local Name 906,Odisha Coast,Rare,Monsoon (July-Sept),"Rocky Reefs, Mangroves"
907,Scorpion Fish,Local Name 907,Kochi,Endangered,Winter (Dec-Feb),"Open Sea, Estuaries"
908,Bombay Duck,Local Name 908,West Bengal Coast,Common,Year-round,"Rocky Reefs, Sandy Bottoms"
909,Indian Featherback,Local Name 909,Mumbai Coast,Critically Endangered,Summer (May-Jul),"Estuaries, Open Sea"
910,Pike,Local Name 910,Mumbai Coast,Moderate,Summer (May-Jul),"Rocky Reefs, Rocky Reefs"
911,Bonito,Local Name 911,Gulf of Mannar,Moderate,Summer (May-Jul),"Freshwater rivers, Mangroves"
912,Blue Marlin,Local Name 912,Odisha Coast,Rare,Monsoon (July-Sept),"Estuaries, Coral Reefs"
913,Moray Eel,Local Name 913,Kanyakumari,Critically Endangered,Winter (Dec-Feb),"Sandy Bottoms, Estuaries"
914,Blue Marlin,Local Name 914,Tamil Nadu Coast,Stable,Winter (Dec-Feb),"Open Sea, Freshwater rivers"
915,Tuna,Local Name 915,Kochi,Critically Endangered,Monsoon (July-Sept),"Coral Reefs, Mangroves"
916,Blue Marlin,Local Name 916,Andaman Islands,Endangered,Winter (Dec-Feb),"Coral Reefs, Sandy Bottoms"
917,Bombay Duck,Local Name 917,Kanyakumari,Endangered,Year-round,"Open Sea, Rocky Reefs"
918,Chub,Local Name 918,Tamil Nadu Coast,Declining,Monsoon (July-Sept),"Mangroves, Rocky Reefs"
919,Mandarinfish,Local Name 919,Mumbai Coast,Moderate,Year-round,"Shallow Reefs, Sandy Bottoms"
920,Goby,Local Name 920,Odisha Coast,Rare,Winter (Dec-Feb),"Coastal, Coral Reefs"
921,Butterfly Fish,Local Name 921,"Sundarbans, West Bengal",Rare,Year-round,"Brackish, Rocky Reefs"
922,Anthias,Local Name 922,Palk Strait,Rare,Year-round,"Shallow Reefs, Open Sea"
923,Blacktip Shark,Local Name 923,West Bengal Coast,Endangered,Winter (Dec-Feb),"Coastal, Coral Reefs"
924,Sturgeon,Local Name 924,Gulf of Mannar,Endangered,Year-round,"Coral Reefs, Rocky Reefs"
925,Butterfly Fish,Local Name 925,Lakshadweep Sea,Moderate,Year-round,"Coastal, Sandy Bottoms"
926,Sardine,Local Name 926,Gulf of Mannar,Common,Year-round,"Freshwater rivers, Estuaries"
927,Dory,Local Name 927,Kanyakumari,Stable,Monsoon (July-Sept),"Coral Reefs, Rocky Reefs"
928,Sardine,Local Name 928,Visakhapatnam,Rare,Winter (Dec-Feb),"Open Sea, Coastal"
929,Herring,Local Name 929,Lakshadweep Sea,Common,Spring (Mar-Apr),"Open Sea, Open Sea"
930,Pomfret,Local Name 930,Gulf of Mannar,Moderate,Spring (Mar-Apr),"Coastal, Shallow Reefs"
931,Herring,Local Name 931,Odisha Coast,Stable,Spring (Mar-Apr),"Freshwater rivers, Shallow Reefs"
932,Hilsa,Local Name 932,Gulf of Mannar,Declining,Summer (May-Jul),"Mangroves, Open Sea"
933,Blue Marlin,Local Name 933,Tamil Nadu Coast,Moderate,Year-round,"Sandy Bottoms, Coastal"
934,Pike,Local Name 934,Goa,Declining,Year-round,"Open Sea, Coastal"
935,Tilapia,Local Name 935,Mumbai Coast,Declining,Winter (Dec-Feb),"Freshwater rivers, Shallow Reefs"
936,Blue Chromis,Local Name 936,Rameswaram Coast,Rare,Spring (Mar-Apr),"Shallow Reefs, Freshwater rivers"
937,Eel,Local Name 937,Kerala Backwaters,Stable,Spring (Mar-Apr),"Brackish, Coral Reefs"
938,Trevally,Local Name 938,Tamil Nadu Coast,Endangered,Summer (May-Jul),"Sandy Bottoms, Rocky Reefs"
939,Sturgeon,Local Name 939,Kerala Backwaters,Critically Endangered,Spring (Mar-Apr),"Open Sea, Estuaries"
940,Anchovy,Local Name 940,Kerala Backwaters,Rare,Monsoon (July-Sept),"Shallow Reefs, Coral Reefs"
941,Snappers,Local Name 941,Goa,Endangered,Winter (Dec-Feb),"Brackish, Shallow Reefs"
942,Catfish,Local Name 942,Tamil Nadu Coast,Endangered,Spring (Mar-Apr),"Rocky Reefs, Freshwater rivers"
943,Swordfish,Local Name 943,Kerala Backwaters,Common,Winter (Dec-Feb),"Rocky Reefs, Brackish"
944,Bream,Local Name 944,Kochi,Moderate,Summer (May-Jul),"Shallow Reefs, Coastal"
945,Tuna,Local Name 945,Bay of Bengal,Critically Endangered,Winter (Dec-Feb),"Coral Reefs, Open Sea"
946,Dory,Local Name 946,Odisha Coast,Critically Endangered,Monsoon (July-Sept),"Open Sea, Estuaries"
947,Groupers,Local Name 947,Tamil Nadu Coast,Rare,Winter (Dec-Feb),"Open Sea, Estuaries"
948,Mackerel,Local Name 948,Lakshadweep Sea,Moderate,Winter (Dec-Feb),"Shallow Reefs, Rocky Reefs"
949,Bonito,Local Name 949,Kochi,Declining,Winter (Dec-Feb),"Rocky Reefs, Rocky Reefs"
950,Guitarfish,Local Name 950,Goa,Critically Endangered,Spring (Mar-Apr),"Estuaries, Estuaries"
951,Groupers,Local Name 951,Andaman Islands,Endangered,Winter (Dec-Feb),"Estuaries, Coastal"
952,Blue Chromis,Local Name 952,Goa,Common,Summer (May-Jul),"Freshwater rivers, Mangroves"
953,Barramundi,Local Name 953,Mumbai Coast,Critically Endangered,Spring (Mar-Apr),"Freshwater rivers, Coral Reefs"
954,Ladyfish,Local Name 954,Odisha Coast,Common,Winter (Dec-Feb),"Rocky Reefs, Coastal"
955,Cod,Local Name 955,Mumbai Coast,Common,Winter (Dec-Feb),"Brackish, Estuaries"
956,Goby,Local Name 956,West Bengal Coast,Stable,Year-round,"Mangroves, Rocky Reefs"
957,Mackerel,Local Name 957,Gulf of Mannar,Declining,Summer (May-Jul),"Coral Reefs, Sandy Bottoms"
958,Carp,Local Name 958,Kerala Backwaters,Stable,Year-round,"Freshwater rivers, Estuaries"
959,Tilefish,Local Name 959,West Bengal Coast,Stable,Winter (Dec-Feb),"Freshwater rivers, Coastal"
960,Ribbon Fish,Local Name 960,Odisha Coast,Declining,Summer (May-Jul),"Freshwater rivers, Estuaries"
961,Hilsa,Local Name 961,Kerala Backwaters,Moderate,Year-round,"Freshwater rivers, Sandy Bottoms"
962,Bream,Local Name 962,Bay of Bengal,Declining,Year-round,"Rocky Reefs, Freshwater rivers"
963,Goby,Local Name 963,Bay of Bengal,Rare,Spring (Mar-Apr),"Mangroves, Brackish"
964,Blue Marlin,Local Name 964,Tamil Nadu Coast,Rare,Winter (Dec-Feb),"Estuaries, Coastal"
965,Moray Eel,Local Name 965,Tamil Nadu Coast,Moderate,Monsoon (July-Sept),"Brackish, Rocky Reefs"
966,Barramundi,Local Name 966,Lakshadweep Sea,Endangered,Summer (May-Jul),"Coastal, Mangroves"
967,Pufferfish,Local Name 967,Tamil Nadu Coast,Common,Summer (May-Jul),"Open Sea, Shallow Reefs"
968,Drum,Local Name 968,Andaman Islands,Moderate,Monsoon (July-Sept),"Shallow Reefs, Rocky Reefs"
969,Anglerfish,Local Name 969,Andaman Islands,Moderate,Summer (May-Jul),"Sandy Bottoms, Freshwater rivers"
970,Gobies,Local Name 970,Rameswaram Coast,Moderate,Year-round,"Sandy Bottoms, Open Sea"
971,Clown Fish,Local Name 971,Odisha Coast,Common,Monsoon (July-Sept),"Coastal, Coral Reefs"
972,Bluefin Tuna,Local Name 972,Goa,Declining,Winter (Dec-Feb),"Coastal, Estuaries"
973,Sandperch,Local Name 973,Rameswaram Coast,Stable,Winter (Dec-Feb),"Open Sea, Brackish"
974,Ribbon Fish,Local Name 974,Visakhapatnam,Rare,Monsoon (July-Sept),"Mangroves, Shallow Reefs"
975,Silver Whiting,Local Name 975,Kanyakumari,Rare,Spring (Mar-Apr),"Freshwater rivers, Shallow Reefs"
976,Goby,Local Name 976,Lakshadweep Sea,Rare,Summer (May-Jul),"Estuaries, Freshwater rivers"
977,Blue Marlin,Local Name 977,Tamil Nadu Coast,Stable,Year-round,"Coral Reefs, Open Sea"
978,Anchovy,Local Name 978,Palk Strait,Moderate,Winter (Dec-Feb),"Estuaries, Sandy Bottoms"
979,Sturgeon,Local Name 979,Visakhapatnam,Common,Monsoon (July-Sept),"Freshwater rivers, Mangroves"
980,Pufferfish,Local Name 980,Odisha Coast,Common,Monsoon (July-Sept),"Coastal, Mangroves"
981,Blacktip Shark,Local Name 981,Palk Strait,Endangered,Spring (Mar-Apr),"Sandy Bottoms, Rocky Reefs"
982,Pomfret,Local Name 982,Tamil Nadu Coast,Critically Endangered,Winter (Dec-Feb),"Coral Reefs, Coral Reefs"
983,Mackerel,Local Name 983,Odisha Coast,Endangered,Monsoon (July-Sept),"Freshwater rivers, Open Sea"
984,Blue Marlin,Local Name 984,Mumbai Coast,Declining,Monsoon (July-Sept),"Mangroves, Shallow Reefs"
985,Moray Eel,Local Name 985,Mumbai Coast,Rare,Monsoon (July-Sept),"Shallow Reefs, Brackish"
986,Silver Whiting,Local Name 986,Gulf of Mannar,Stable,Year-round,"Freshwater rivers, Coastal"
987,Pangasius Catfish,Local Name 987,Kochi,Stable,Winter (Dec-Feb),"Coastal, Freshwater rivers"
988,Shovelnose Ray,Local Name 988,Rameswaram Coast,Moderate,Year-round,"Coastal, Mangroves"
989,Pomfret,Local Name 989,"Sundarbans, West Bengal",Declining,Summer (May-Jul),"Coral Reefs, Open Sea"
990,Grunt,Local Name 990,Rameswaram Coast,Rare,Spring (Mar-Apr),"Shallow Reefs, Open Sea"
991,Sardine,Local Name 991,Palk Strait,Stable,Year-round,"Coastal, Coral Reefs"
992,Lion Fish,Local Name 992,Kerala Backwaters,Moderate,Winter (Dec-Feb),"Coral Reefs, Open Sea"
993,Nurse Shark,Local Name 993,Odisha Coast,Rare,Spring (Mar-Apr),"Estuaries, Shallow Reefs"
